Id_cliente,num_tx_avance,num_tx_compra,num_tx_seguro,total_valor_avance,total_valor_compra,total_valor_seguro,ratio_avance_compra,dias_desde_ultima_tx,num_transacciones
91,1.0,0.0,0.0,500000.0,0.0,0.0,inf,27,1
92,2.0,0.0,0.0,400000.0,0.0,0.0,inf,183,2
94,0.0,4.0,0.0,0.0,1599018.0,0.0,0.0,23,4
95,1.0,1.0,0.0,100000.0,1272555.0,0.0,0.07858206521525592,52,2
96,0.0,7.0,0.0,0.0,4037771.29,0.0,0.0,41,7
97,3.0,11.0,0.0,1050000.0,2583766.0,0.0,0.4063835502131385,9,14
98,0.0,1.0,0.0,0.0,309273.0,0.0,0.0,125,1
99,0.0,5.0,0.0,0.0,1360471.0,0.0,0.0,9,5
100,0.0,6.0,0.0,0.0,1614757.0,0.0,0.0,20,6
101,1.0,2.0,0.0,800000.0,80680.0,0.0,9.91571641051066,76,3
102,5.0,13.0,0.0,1625000.0,2875804.9,0.0,0.5650591943841531,28,18
103,5.0,13.0,0.0,3000000.0,7512707.0,0.0,0.3993234396070551,2,18
104,3.0,15.0,0.0,1300000.0,3526316.68,0.0,0.3686566233183572,35,18
105,1.0,22.0,0.0,50000.0,7238436.0,0.0,0.006907569535739488,13,23
106,4.0,19.0,0.0,1950000.0,9490097.8,0.0,0.20547733449069405,5,23
107,7.0,17.0,0.0,3420000.0,3484040.0,0.0,0.981619039965098,33,24
108,6.0,32.0,0.0,2697000.0,5488397.0,0.0,0.49140031233163345,3,38
109,4.0,21.0,0.0,2480000.0,9936812.32,0.0,0.24957701928298068,30,25
110,12.0,36.0,0.0,4783000.0,13455593.42,0.0,0.3554655562712447,8,48
111,7.0,24.0,0.0,4100000.0,16800274.95,0.0,0.24404362501222043,8,31
112,13.0,46.0,1.0,5570000.0,15357325.25,67900.0,0.36269336680226916,5,61
113,21.0,46.0,0.0,8965000.0,18786138.2,0.0,0.4772135659046733,0,67
114,13.0,42.0,0.0,6070000.0,20010656.97,0.0,0.3033383666063614,9,56
115,24.0,55.0,1.0,12000000.0,16714962.17,209020.0,0.717919662512763,2,80
116,13.0,44.0,0.0,6500000.0,15504353.33,0.0,0.41923709178008006,3,57
117,15.0,57.0,0.0,4670000.0,32106517.23,0.0,0.14545333480258021,7,72
118,22.0,84.0,0.0,9040000.0,33707498.04,0.0,0.2681895876481967,7,106
119,19.0,84.0,1.0,7510000.0,32689672.32,67900.0,0.2297361664101257,2,104
120,22.0,75.0,0.0,9090000.0,34629614.75,0.0,0.2624920913970029,2,97
121,15.0,64.0,0.0,6344000.0,18760365.71,0.0,0.3381597191689287,6,79
122,27.0,77.0,0.0,11710000.0,25973973.05,0.0,0.45083591861199684,7,104
123,33.0,82.0,1.0,17160000.0,21496201.55,248163.0,0.7982805687826275,1,117
124,14.0,107.0,0.0,6220000.0,37169479.99,0.0,0.16734159320155717,5,121
125,22.0,116.0,0.0,11560000.0,36789075.88,0.0,0.31422371243319197,4,138
126,27.0,90.0,1.0,11760000.0,32619677.09,229900.0,0.3605185902838133,0,119
127,34.0,84.0,0.0,12606000.0,22587313.02,0.0,0.5581009121730408,0,119
128,25.0,90.0,0.0,11210000.0,31967596.95,0.0,0.3506675843521607,1,115
129,22.0,98.0,0.0,7964000.0,45573848.42,0.0,0.17474934147771057,0,120
130,37.0,79.0,0.0,14140000.0,33278622.75,0.0,0.42489739152441336,3,116
131,24.0,81.0,0.0,10703000.0,36869387.55,0.0,0.29029503095176856,3,105
132,27.0,66.0,1.0,10978000.0,19289894.9,558957.0,0.5691062629895407,5,94
133,18.0,85.0,0.0,8336500.0,26834691.63,0.0,0.3106612930360698,4,103
134,18.0,54.0,0.0,7410000.0,20360026.52,0.0,0.3639484453873884,8,72
135,16.0,73.0,2.0,6329000.0,24548526.55,807120.0,0.25781588101058556,3,91
136,23.0,63.0,0.0,8566500.0,22733570.31,0.0,0.3768215851353443,1,86
137,15.0,62.0,0.0,7830000.0,22875650.68,0.0,0.342285345651204,6,77
138,13.0,57.0,0.0,3818000.0,22082802.0,0.0,0.1728947259500855,2,70
139,9.0,45.0,1.0,4900000.0,10116024.129999999,209020.0,0.48438002292507387,8,55
140,17.0,35.0,1.0,7540000.0,11286947.0,15900.0,0.6680282985292657,2,53
141,10.0,43.0,0.0,4983000.0,7955893.04,0.0,0.6263281789922103,4,53
142,13.0,33.0,0.0,6000000.0,10957994.9,0.0,0.5475454273117064,7,46
143,9.0,30.0,0.0,4780000.0,12189028.33,0.0,0.39215595128574127,26,39
144,3.0,26.0,0.0,1700000.0,9978683.0,0.0,0.1703631631548973,1,29
145,5.0,22.0,0.0,2615000.0,6244182.98,0.0,0.41878977736171336,13,27
146,1.0,9.0,0.0,600000.0,2241114.0,0.0,0.2677239979760066,2,10
147,4.0,26.0,0.0,1930000.0,10137411.0,0.0,0.19038391557765588,16,30
148,5.0,7.0,0.0,2150000.0,4220509.0,0.0,0.5094172290593386,28,12
149,2.0,5.0,0.0,1600000.0,1560195.0,0.0,1.0255128365364585,7,7
150,2.0,6.0,0.0,900000.0,1768965.0,0.0,0.5087720785883271,0,8
151,2.0,6.0,0.0,900000.0,2344151.0,0.0,0.38393431139888173,23,8
152,2.0,10.0,1.0,900000.0,1488431.0,248163.0,0.604663568549701,24,13
153,1.0,7.0,0.0,800000.0,896759.0,0.0,0.8921014453158541,49,8
154,0.0,8.0,0.0,0.0,1165391.0,0.0,0.0,58,8
155,1.0,1.0,0.0,100000.0,132897.0,0.0,0.7524624333130169,106,2
156,0.0,5.0,0.0,0.0,846900.0,0.0,0.0,92,5
157,1.0,1.0,0.0,600000.0,129557.0,0.0,4.6311662048364814,30,2
158,1.0,5.0,0.0,800000.0,973170.0,0.0,0.822055755931646,37,6
159,1.0,1.0,0.0,800000.0,300000.0,0.0,2.6666666666666665,120,2
162,0.0,1.0,0.0,0.0,450240.0,0.0,0.0,84,1
165,0.0,1.0,0.0,0.0,80000.0,0.0,0.0,97,1
